rank,country,population,percentage,date,source,population_clean,percentage_clean,country_clean,population_numeric,percentage_numeric,rank_numeric,population_category,processed_at,extraction_year,population_millions,cumulative_percentage,relative_rank,population_diff,population_diff_millions
1,India,"1,417,492,000",17.2%,1 Jul 2025,Official projection[4],1417492000,17.2,India,1417492000,17.2,1,Mega Poblado,2026-03-14 19:03:58,2026,1417.49,17.2,1.0,,
2,China,"1,404,890,000",17.1%,31 Dec 2025,Official estimate[5],1404890000,17.1,China,1404890000,17.1,2,Mega Poblado,2026-03-14 19:03:58,2026,1404.89,34.3,2.0,12602000.0,12.6
3,United States,"341,784,857",4.2%,1 Jul 2025,Official estimate[6],341784857,4.2,United States,341784857,4.2,3,Muy Grande,2026-03-14 19:03:58,2026,341.78,38.5,3.0,1063105143.0,1063.11
4,Indonesia,"288,315,089",3.5%,31 Dec 2025,National annual projection[7],288315089,3.5,Indonesia,288315089,3.5,4,Muy Grande,2026-03-14 19:03:58,2026,288.32,42.0,4.0,53469768.0,53.47
5,Pakistan,"241,499,431",2.9%,1 Mar 2023,2023 census result[8],241499431,2.9,Pakistan,241499431,2.9,5,Muy Grande,2026-03-14 19:03:58,2026,241.5,44.9,5.0,46815658.0,46.82
6,Nigeria,"223,800,000",2.7%,1 Jul 2023,Official projection[9],223800000,2.7,Nigeria,223800000,2.7,6,Muy Grande,2026-03-14 19:03:58,2026,223.8,47.6,6.0,17699431.0,17.7
7,Brazil,"213,421,037",2.6%,1 Jul 2025,Official estimate[10],213421037,2.6,Brazil,213421037,2.6,7,Muy Grande,2026-03-14 19:03:58,2026,213.42,50.2,7.0,10378963.0,10.38
8,Bangladesh,"169,828,911",2.1%,14 Jun 2022,2022 census result[11],169828911,2.1,Bangladesh,169828911,2.1,8,Muy Grande,2026-03-14 19:03:58,2026,169.83,52.300000000000004,8.0,43592126.0,43.59
9,Russia,"146,028,325",1.8%,1 Jan 2025,Official estimate[13],146028325,1.8,Russia,146028325,1.8,9,Muy Grande,2026-03-14 19:03:58,2026,146.03,54.1,9.0,23800586.0,23.8
10,Mexico,"131,001,723",1.6%,31 Dec 2025,National quarterly estimate[14],131001723,1.6,Mexico,131001723,1.6,10,Muy Grande,2026-03-14 19:03:58,2026,131.0,55.7,10.0,15026602.0,15.03
11,Japan,"122,860,000",1.5%,1 Feb 2026,Monthly national estimate[15],122860000,1.5,Japan,122860000,1.5,11,Muy Grande,2026-03-14 19:03:58,2026,122.86,57.2,11.0,8141723.0,8.14
12,Philippines,"114,123,600",1.4%,1 Jul 2025,Official projection[16],114123600,1.4,Philippines,114123600,1.4,12,Muy Grande,2026-03-14 19:03:58,2026,114.12,58.6,12.0,8736400.0,8.74
13,DR Congo,"112,832,000",1.4%,1 Jul 2025,UN projection[17],112832000,1.4,DR Congo,112832000,1.4,13,Muy Grande,2026-03-14 19:03:58,2026,112.83,60.0,13.0,1291600.0,1.29
14,Ethiopia,"111,652,998",1.4%,1 Jul 2025,National annual projection[18],111652998,1.4,Ethiopia,111652998,1.4,14,Muy Grande,2026-03-14 19:03:58,2026,111.65,61.4,14.0,1179002.0,1.18
15,Egypt,"107,868,296",1.3%,1 Jul 2025,Official estimate[19],107868296,1.3,Egypt,107868296,1.3,15,Muy Grande,2026-03-14 19:03:58,2026,107.87,62.699999999999996,15.0,3784702.0,3.78
16,Vietnam,"102,300,000",1.2%,31 Dec 2025,Official estimate[20],102300000,1.2,Vietnam,102300000,1.2,16,Muy Grande,2026-03-14 19:03:58,2026,102.3,63.9,16.0,5568296.0,5.57
17,Iran,"86,563,000",1.1%,20 Mar 2025,Official projection[21],86563000,1.1,Iran,86563000,1.1,17,Grande,2026-03-14 19:03:58,2026,86.56,65.0,17.0,15737000.0,15.74
18,Turkey,"86,092,168",1.0%,31 Dec 2025,Official estimate[22],86092168,1.0,Turkey,86092168,1.0,18,Grande,2026-03-14 19:03:58,2026,86.09,66.0,18.0,470832.0,0.47
19,Germany,"83,497,147",1.0%,30 Sep 2025,National quarterly estimate[23],83497147,1.0,Germany,83497147,1.0,19,Grande,2026-03-14 19:03:58,2026,83.5,67.0,19.0,2595021.0,2.6
20,United Kingdom,"69,487,000",0.8%,30 Jun 2025,Official estimate[24],69487000,0.8,United Kingdom,69487000,0.8,20,Grande,2026-03-14 19:03:58,2026,69.49,67.8,20.0,14010147.0,14.01
21,France,"69,081,996",0.8%,1 Jan 2026,Yearly national estimate[25],69081996,0.8,France,69081996,0.8,21,Grande,2026-03-14 19:03:58,2026,69.08,68.6,21.0,405004.0,0.41
22,Tanzania,"68,153,004",0.8%,1 Jul 2025,Official projection[26],68153004,0.8,Tanzania,68153004,0.8,22,Grande,2026-03-14 19:03:58,2026,68.15,69.39999999999999,22.0,928992.0,0.93
23,Thailand,"65,826,149",0.8%,30 Nov 2025,Monthly national estimate[27],65826149,0.8,Thailand,65826149,0.8,23,Grande,2026-03-14 19:03:58,2026,65.83,70.19999999999999,23.0,2326855.0,2.33
24,South Africa,"63,100,945",0.8%,30 Jun 2025,Official estimate[28],63100945,0.8,South Africa,63100945,0.8,24,Grande,2026-03-14 19:03:58,2026,63.1,70.99999999999999,24.0,2725204.0,2.73
25,Italy,"58,956,726",0.7%,30 Nov 2025,Monthly national estimate[29],58956726,0.7,Italy,58956726,0.7,25,Grande,2026-03-14 19:03:58,2026,58.96,71.69999999999999,25.0,4144219.0,4.14
26,Kenya,"53,330,978",0.6%,1 Jul 2025,Official projection[30],53330978,0.6,Kenya,53330978,0.6,26,Grande,2026-03-14 19:03:58,2026,53.33,72.29999999999998,26.0,5625748.0,5.63
27,Colombia,"53,057,212",0.6%,1 Jan 2025,Official projection[31],53057212,0.6,Colombia,53057212,0.6,27,Grande,2026-03-14 19:03:58,2026,53.06,72.89999999999998,27.0,273766.0,0.27
28,Sudan,"51,662,000",0.6%,1 Jul 2025,UN projection[32],51662000,0.6,Sudan,51662000,0.6,28,Grande,2026-03-14 19:03:58,2026,51.66,73.49999999999997,28.0,1395212.0,1.4
29,Myanmar,"51,375,327",0.6%,15 Oct 2024,2024 census result[33],51375327,0.6,Myanmar,51375327,0.6,29,Grande,2026-03-14 19:03:58,2026,51.38,74.09999999999997,29.0,286673.0,0.29
30,South Korea,"51,111,158",0.6%,31 Jan 2026,Monthly national estimate[35],51111158,0.6,South Korea,51111158,0.6,30,Grande,2026-03-14 19:03:58,2026,51.11,74.69999999999996,30.0,264169.0,0.26
31,Spain,"49,570,725",0.6%,1 Jan 2026,National quarterly estimate[36],49570725,0.6,Spain,49570725,0.6,31,Mediano,2026-03-14 19:03:58,2026,49.57,75.29999999999995,31.0,1540433.0,1.54
32,Algeria,"47,400,000",0.6%,1 Jan 2025,National annual projection[37],47400000,0.6,Algeria,47400000,0.6,32,Mediano,2026-03-14 19:03:58,2026,47.4,75.89999999999995,32.0,2170725.0,2.17
33,Argentina,"46,387,098",0.6%,1 Jul 2025,National annual projection[38],46387098,0.6,Argentina,46387098,0.6,33,Mediano,2026-03-14 19:03:58,2026,46.39,76.49999999999994,33.0,1012902.0,1.01
34,Iraq,"46,118,793",0.6%,21 Nov 2024,2024 census result[39],46118793,0.6,Iraq,46118793,0.6,34,Mediano,2026-03-14 19:03:58,2026,46.12,77.09999999999994,34.0,268305.0,0.27
35,Uganda,"45,905,417",0.6%,10 May 2024,2024 census result[40],45905417,0.6,Uganda,45905417,0.6,35,Mediano,2026-03-14 19:03:58,2026,45.91,77.69999999999993,35.0,213376.0,0.21
36,Afghanistan,"43,844,000",0.5%,1 Jul 2025,UN projection[41][42] (see note),43844000,0.5,Afghanistan,43844000,0.5,36,Mediano,2026-03-14 19:03:58,2026,43.84,78.19999999999993,36.0,2061417.0,2.06
37,Canada,"41,575,585",0.5%,1 Oct 2025,National quarterly estimate[49],41575585,0.5,Canada,41575585,0.5,37,Mediano,2026-03-14 19:03:58,2026,41.58,78.69999999999993,37.0,2268415.0,2.27
38,Uzbekistan,"38,236,704",0.5%,1 Jan 2026,Official estimate[50],38236704,0.5,Uzbekistan,38236704,0.5,38,Mediano,2026-03-14 19:03:58,2026,38.24,79.19999999999993,38.0,3338881.0,3.34
39,Poland,"37,332,000",0.5%,31 Dec 2025,Monthly national estimate[51],37332000,0.5,Poland,37332000,0.5,39,Mediano,2026-03-14 19:03:58,2026,37.33,79.69999999999993,39.0,904704.0,0.9
40,Morocco,"36,828,330",0.4%,1 Sep 2024,2024 census result[52],36828330,0.4,Morocco,36828330,0.4,40,Mediano,2026-03-14 19:03:58,2026,36.83,80.09999999999994,40.0,503670.0,0.5
41,Angola,"36,604,681",0.4%,19 Sep 2024,2024 census result[53],36604681,0.4,Angola,36604681,0.4,41,Mediano,2026-03-14 19:03:58,2026,36.6,80.49999999999994,41.0,223649.0,0.22
42,Saudi Arabia,"35,300,280",0.4%,1 Jul 2024,Official estimate[54],35300280,0.4,Saudi Arabia,35300280,0.4,42,Mediano,2026-03-14 19:03:58,2026,35.3,80.89999999999995,42.0,1304401.0,1.3
43,Peru,"34,350,244",0.4%,1 Jul 2025,National annual projection[55],34350244,0.4,Peru,34350244,0.4,43,Mediano,2026-03-14 19:03:58,2026,34.35,81.29999999999995,43.0,950036.0,0.95
44,Malaysia,"34,281,100",0.4%,30 Sep 2025,National quarterly estimate[56],34281100,0.4,Malaysia,34281100,0.4,44,Mediano,2026-03-14 19:03:58,2026,34.28,81.69999999999996,44.0,69144.0,0.07
45,Mozambique,"34,090,466",0.4%,1 Jul 2025,National annual projection[57],34090466,0.4,Mozambique,34090466,0.4,45,Mediano,2026-03-14 19:03:58,2026,34.09,82.09999999999997,45.0,190634.0,0.19
46,Ghana,"33,742,380",0.4%,1 Jul 2025,National annual projection[58],33742380,0.4,Ghana,33742380,0.4,46,Mediano,2026-03-14 19:03:58,2026,33.74,82.49999999999997,46.0,348086.0,0.35
47,Yemen,"32,684,503",0.4%,1 Jul 2023,Official estimate[59],32684503,0.4,Yemen,32684503,0.4,47,Mediano,2026-03-14 19:03:58,2026,32.68,82.89999999999998,47.0,1057877.0,1.06
48,Madagascar,"31,727,042",0.4%,1 Jul 2025,National annual projection[60],31727042,0.4,Madagascar,31727042,0.4,48,Mediano,2026-03-14 19:03:58,2026,31.73,83.29999999999998,48.0,957461.0,0.96
49,Ivory Coast,"31,719,275",0.4%,31 Dec 2024,National annual projection[61],31719275,0.4,Ivory Coast,31719275,0.4,49,Mediano,2026-03-14 19:03:58,2026,31.72,83.69999999999999,49.0,7767.0,0.01
50,Nepal,"29,911,840",0.4%,25 Nov 2025,National annual projection[62],29911840,0.4,Nepal,29911840,0.4,50,Mediano,2026-03-14 19:03:58,2026,29.91,84.1,50.0,1807435.0,1.81
